,TWEET,USER NAME,USER LOCATION
0,@NBAonTNT Agree with Shaq.  It’s not a tenable situation for the Nets or for his teammates. You’re either a health… https://t.co/j7m424tPFX,kathlovestennis,"Brooklyn Heights, NY"
1,#Kyrie is too much of a Drama Queen &amp; wants to be center of attention…,Renegades_Hoop,
2,"この動画を気に入った方はリツイートとチャンネル登録お願いします！！
【NBA】カイリー・アービング天才のドライブ【スラッシャー】 https://t.co/wq72MFodTA YouTubeさんから
#NBA　#MLB　#NFL… https://t.co/QDK542qPvk",USAMIX3,
3,"Me vuelve loco la idea de que #Kyrie #Irving tiene un valor de ""practicamente cero"" mientras gana 35 millones de dó… https://t.co/kYochT1IWM",ManuelRamirezcm,
4,"🏀: @KendrickPerkins has a strong message to all #NBA players who don't want to get the vaccine.

Is he talking to… https://t.co/5gUPygLHEG",English_AS,"Madrid, Spain"
5,"#peaceandblessings #learning #community

@DeadlineWH

Excuse the language. However, I have tolerated all I can stan… https://t.co/2dRp6ieovj",YYE_By_Leverage,"Yonkers, NY"
6,"#peaceandblessings #learning #community

@DeadlineWH

Excuse the language. However, I have tolerated all I can stan… https://t.co/KVfR1Rsn2T",leverage_cr,"Yonkers, NY"
7,👽🏀: #NBA and #Nets star #kyrie Irving apparently is into conspiracies according to Matt Sullivan in an article publ… https://t.co/DKcnye7I7y,English_AS,"Madrid, Spain"
8,"I thought Kyrie Irving's flat earth stance was lacking serious intelligence, but his stance on vaccinations is stra… https://t.co/PbK2rza2j2",ToddOKeefe1,
9,"Spare me preseason highlight videos of #Kyrie on this app.Dude ain’t vax’d, ain’t getting vax’d, and therefore, per… https://t.co/bPmS2GbiR3",NetsSage,"Brooklyn, The Borough"
10,"#Kyrie, acts like a little ass kid. You not that valuable if you can’t be on the court and help win a championship!… https://t.co/eukyD5hqIN",Jessica99047635,
11,"RT @hoshinoaru: ""If she was going to have all of him, Nero had to show her /all/ of him -- for better or worse, right? But somehow, Kyrie a…",gory_goth,
12,"📣 New Podcast! ""S3Ep8 The Good, The Bad, The Ugly"" on @Spreaker #bengals #chargers #colts #covid #cowboys #eagles… https://t.co/964WXVVjm5",BellyUpPodcasts,United States
13,"NBA players gotta take the vaccine or else Shaq is gonna do this to ya 
https://t.co/byw34y5JvL
#GetVaxxed… https://t.co/6u22kAJbO7",FarmVans,"Sacramento, CA"
14,"@tedcruz Dear #kyrie #KyrieIrving ,

On a clear, sunny day you can see the curvature of the earth from an elevation… https://t.co/GGI4nUrCz3",EverProactive,Everywhere else.
15,#lebron #kyrie https://t.co/YJ9wV6EbZM,baezmcg,"Beaverton, OR"
16,@NBAonTNT #Shaq is wrong: #Kyrie is just trying to say he needs time to think about what he is going to do when he… https://t.co/vnUmAtt9xR,2UWCHK,NJ
17,"👉  👈
Nike Kyrie Irving Brooklyn Nets NBA Boys Youth 820 Black Icon Edition @topfanscorner 
#Nike #Kyrie #Irving… https://t.co/fVxdc66OfD",topfanscorner,
18,Dear #NBA nerds. Can the BK #Nets trade #Kyrie for #Simmons? Like contract wise. I though Kyrie had a no trade clau… https://t.co/OpayZRMcRU,iamthealdo,"Queens, NY"
19,RT @3Mega: #DMC #Dante #Vergil #Nero #Credo #Kyrie https://t.co/tDkxCzWkxV,SeigunKira,"Jakarta, Indonesia"
20,Shaq's not a fan of Kyrie Irving. https://t.co/bYhBBAOxxf #Shaq #Kyrie #NBA,thebetlasvegas,Las Vegas
21,"Ppl are mad at Kyrie for risking missing half the team games, he does that on the regular it’s just premeditated no… https://t.co/SObRPHYRQY",master_rob_,NYC and Worldwide 
22,Who cares about #Kyrie #MickJagger #Britney #DanielCraig.We're focused on the #CitadelScandal and getting paid. We… https://t.co/1jmgkStbEb,BklynContractor,$AMC
23,Can Utah State end #BYU's Dream Season? Was it Tom Brady or Bill Belichick for the #GoPats? Should #Kyrie get vacci… https://t.co/GdSaFNrRf2,TheMontyShow,"Salt Lake City, UT"
24,"RT @ThisIsLgc: Giving away 2 Premium Level Tickets to the #Lakers vs #Nets game on Sunday, October 3rd! 💜💛

To be eligible:

1️⃣ Follow @Th…",CarlosSteph3,LA/LV 
25,"Giving away 2 Premium Level Tickets to the #Lakers vs #Nets game on Sunday, October 3rd! 💜💛

To be eligible:

1️⃣ F… https://t.co/nNobyODf4Y",ThisIsLgc,
26,"KYRIE LOW 3 EP

#nike #kyrie #low #3 #kyrielow #sneaker #life #sneakers #kicks #kickstagram #shoes #instagood https://t.co/Y8QHBFzgaB",1005tom,
27,"@TommyBeer Cool, let them take this time off to educate themselves, because you know Kyrie Einstein Irving isn't re… https://t.co/3Mxk2FZbGd",MotionStoneSP,
28,"この動画を気に入った方はリツイートとチャンネル登録お願いします！！
【NBA】カイリー・アービング天才のドライブ【スラッシャー】 https://t.co/wq72MFodTA YouTubeさんから
#NBA　#MLB　#NFL… https://t.co/IPJvhWaC0F",USAMIX3,
29,RT @CellieNJuju: Leave Kyrie Irving tf alone. My goodness. These reporters be so self righteous. There are boundaries. He has free will. Me…,PigMillerEra,"California, USA"
30,"RT @ParisAsprou: What will happen first???? 

#nba #vaccine #cardano #ada #kyrie #crypto #bitcoin #survey #news #trending #brooklyn #nets #…",NYOUNGMAN777,"Las Vegas, NV"
31,"What will happen first???? 

#nba #vaccine #cardano #ada #kyrie #crypto #bitcoin #survey #news #trending #brooklyn… https://t.co/QfGEp0KWHC",ParisAsprou,"New York, USA"
32,I think this is one good purchase... @iam_phel  thank you sa pagpili hehehe... #nike #Kyrie https://t.co/bqYzblAned,SirJeffPTRP,Manila
33,Never been a shot @KyrieIrving has EVER passed up♪ Time to listen to OGs @kaj33 @KingJames and not your auntie… https://t.co/RJ8IJFpwf6,OrbitFried,
34,"RT @jurisdiva: A scorching, not take and well done by the great Sally Jenkins at @washingtonpost  #Kyrie #CovidVaccine 
https://t.co/UQpAdj…",FyfmStanley,
35,"📣 New Podcast! ""The Reggie Blackwell Show - 9.29.21"" on @Spreaker #cardinals #covid #kyrie #nba #stl #stlcards https://t.co/3Mq8q2Lz6c",590TheFan,"St Louis, MO"
36,"The elderly should get vaccinated idgaf
#kyrie or #kyrong? https://t.co/N6ee8Xqk4A",SHABOOTY,Lost Angeles 🪰 DC
37,"#Payattention #Kyrie
https://t.co/KocmCTFMCi",BRIZZYBROAD,
38,Nba trade :  Ben Simmons for Kyrie Irving #NBA #kyrie #BenSimmons,hiram8190,Puerto Rico
