,TWEET,USER NAME,USER LOCATION
0,"RT @Asif91264976: 🔥🔯 UNITY PROTOCOL🔯🔥
🔯LISTING ON COINGECKO
🔯REWARDS FOR HOLDERS
🔯UNITY WALLETS
🔯CRYPTO BOTS
🔯UNITY SWAP
🔯MULTIPLE Xx 
#Uni…",JamesHe19303759,
1,"RT @Asif91264976: 🔥🔯 UNITY PROTOCOL🔯🔥
🔯LISTING ON COINGECKO
🔯REWARDS FOR HOLDERS
🔯UNITY WALLETS
🔯CRYPTO BOTS
🔯UNITY SWAP
🔯MULTIPLE Xx 
#Uni…",JamesHe19303759,
2,"RT @ItzBarry1: @singularfarm https://t.co/0MM07Jyai5 (@singularfarm, https://t.co/kCx8nHAqc8), a multichain strategic yield farm, is added…",ItzBarry1,
3,"RT @Asif91264976: 🔥🔯 UNITY PROTOCOL🔯🔥
🔯LISTING ON COINGECKO
🔯REWARDS FOR HOLDERS
🔯UNITY WALLETS
🔯CRYPTO BOTS
🔯UNITY SWAP
🔯MULTIPLE Xx 
#Uni…",JamesHe19303759,
4,"RT @Asif91264976: 🔥🔯 UNITY PROTOCOL🔯🔥
🔯LISTING ON COINGECKO
🔯REWARDS FOR HOLDERS
🔯UNITY WALLETS
🔯CRYPTO BOTS
🔯UNITY SWAP
🔯MULTIPLE Xx 
#Uni…",cryptogirl_78,
5,"@singularfarm https://t.co/0MM07Jyai5 (@singularfarm, https://t.co/kCx8nHAqc8), a multichain strategic yield farm,… https://t.co/o8TgYFN6Ad",ItzBarry1,
6,"RT @Asif91264976: 🔥🔯 UNITY PROTOCOL🔯🔥
🔯LISTING ON COINGECKO
🔯REWARDS FOR HOLDERS
🔯UNITY WALLETS
🔯CRYPTO BOTS
🔯UNITY SWAP
🔯MULTIPLE Xx 
#Uni…",JamesHe19303759,
7,"RT @Asif91264976: 🔥🔯 UNITY PROTOCOL🔯🔥
🔯LISTING ON COINGECKO
🔯REWARDS FOR HOLDERS
🔯UNITY WALLETS
🔯CRYPTO BOTS
🔯UNITY SWAP
🔯MULTIPLE Xx 
#Uni…",JamesHe19303759,
8,"Sydney Trains applies #ArtificialIntelligence to CCTV network
2021-09-29T02:53:03Z

@ronald_vanloon… https://t.co/f6lNfM7vKS",richardkimphd,
9,"RT @GreenexCrypto: Greenex &amp; 5 Star Tyres - Promoting Life - 29 September 2021 #MakeMarsGreen
#markets #moon #financialmarkets #economics #…",80_ded,
10,"RT @anneshadavenpo: @Nq99Nadeem @allyATL @unitycol We All Know, ""Unity is Strength!"" Here, @unitycol is Providing Blockchain Based Unity wi…",Lica0321,
11,"@aqarchain_io #aqarchain #blockchain #realestate #tezos #crypto #cryptocurrency #tokenization It,s good project.Gre… https://t.co/9npq30w0BZ",Riyad019794,
12,"RT @CardanoStiftung: How High Can Cardano’s #ADA Token Go?

Hear from our CEO,  @F_Gregaard as he shares the challenges and opportunities f…",theberkute,"Virginia Beach, VA"
13,"RT @moniwar_game: #Moniwar is excited to announce our partnership with @decomholdings. 🤝

#DeCom is specialized in #DEFI investment and sol…",HeroFarre,"Virgin Islands, U.S."
14,"RT @socialdefi_io: Fact checkers should not be checking the facts for the thing that is made by the people paying their wages.
SocialDefi l…",Serhii55844310,
