,TWEET,USER NAME,USER LOCATION
0,"RT @GisellaVes: #DespiertaPerú
Continuamos en la lucha!
Fuera Ministro MARAVÍ!
Fuera Premier BELLIDO!
Abajo el sendero-comunismo!!!
SÚMATE…",GisellaVes,
1,"@GuidoPuka @GuidoPuka no sabes ni limpiarte el p@%#÷+""÷÷o 
Fuera terruco
#castillonomerepresenta
#GuidoBellido menos",PAD0229,"Lima, Peru"
2,@alhuanyaco @LaResistenciaR2 @justicierope @JoseLuisGil1000 @arman_carlo @LaMona_Chita @pecan929 @LatinosinWallSt… https://t.co/v9jHYSXF4d,elprosor_2021,"Palacio de Gobierno, Lima"
3,"#DespiertaPeru
#TerrorismoNuncaMas
#CastilloNoMeRepresenta 
#VacanciaPedroCastilloYa 
#democracia Sí https://t.co/E2Y3VPT2vU",elprosor_2021,"Palacio de Gobierno, Lima"
4,"#DespiertaPerú
Continuamos en la lucha!
Fuera Ministro MARAVÍ!
Fuera Premier BELLIDO!
Abajo el sendero-comunismo!!!… https://t.co/CP7TBkDgFc",GisellaVes,
5,"RT @QuitateSombrero: ¡Castillo me cagaste!

Ya los peruanos están molestos por las falsas promesas de Pedro Castillo; todo sigue en aumento…",MendezAramb,"Lima, Peru"
6,"RT @QuitateSombrero: ¡Castillo me cagaste!

Ya los peruanos están molestos por las falsas promesas de Pedro Castillo; todo sigue en aumento…",Renatobuendiag,
7,"RT @QuitateSombrero: ¡Castillo me cagaste!

Ya los peruanos están molestos por las falsas promesas de Pedro Castillo; todo sigue en aumento…",Fabiola24811583,"Cusco, Peru"
8,"@alfonsobaella Ya se habrán dado cuenta, que estamos ingresando al tiempo de Hugo Chávez? De apoderacer de las cosa… https://t.co/wADE5zeOOF",KatEsteban_26,"Lima, Peru"
9,"@julianaoxenford Señor presidente? Que falso se lee el tweet del ilegal de Palacio, como se nota que le escriben lo… https://t.co/4CwJCifNGu",Arkanus69,"Lima, Peru"
10,"RT @QuitateSombrero: ¡Castillo me cagaste!

Ya los peruanos están molestos por las falsas promesas de Pedro Castillo; todo sigue en aumento…",elcuervopoe1,
11,"RT @h_1789: @victorhponce Es la fuerza @VLADIMIR_CERRON y @PedroCastilloTe en estos momentos están negociando nuestro futuro, vamos a ver c…",LUZASENCIOSAVEN,Santiago Surco 
12,"RT @QuitateSombrero: ¡Castillo me cagaste!

Ya los peruanos están molestos por las falsas promesas de Pedro Castillo; todo sigue en aumento…",CarlosRequejo,"Lima, Peru"
13,"RT @QuitateSombrero: ¡Castillo me cagaste!

Ya los peruanos están molestos por las falsas promesas de Pedro Castillo; todo sigue en aumento…",EinsteinchenO,"Nuuk , Greenland Denmark"
14,"RT @QuitateSombrero: ¡Castillo me cagaste!

Ya los peruanos están molestos por las falsas promesas de Pedro Castillo; todo sigue en aumento…",RominaDongo,"Arequipa, Peru"
15,"Aquí saludando a ""cuy con sombrero"" castillo, presidentejerijillo peruano en su visita a la OEA… https://t.co/1r2ncd8IOG",unmsm87,México
16,"RT @QuitateSombrero: ¡Castillo me cagaste!

Ya los peruanos están molestos por las falsas promesas de Pedro Castillo; todo sigue en aumento…",BazalarMaribel,
17,"RT @QuitateSombrero: ¡Castillo me cagaste!

Ya los peruanos están molestos por las falsas promesas de Pedro Castillo; todo sigue en aumento…",Ph071241krMQ,
18,"RT @QuitateSombrero: ¡Castillo me cagaste!

Ya los peruanos están molestos por las falsas promesas de Pedro Castillo; todo sigue en aumento…",LucianoRevoredo,Lima
19,"RT @QuitateSombrero: ¡Castillo me cagaste!

Ya los peruanos están molestos por las falsas promesas de Pedro Castillo; todo sigue en aumento…",valjo22,Peru
20,"RT @QuitateSombrero: ¡Castillo me cagaste!

Ya los peruanos están molestos por las falsas promesas de Pedro Castillo; todo sigue en aumento…",pintora67,
21,"RT @QuitateSombrero: ¡Castillo me cagaste!

Ya los peruanos están molestos por las falsas promesas de Pedro Castillo; todo sigue en aumento…",FELICIAUNOS,Peru
22,"RT @QuitateSombrero: ¡Castillo me cagaste!

Ya los peruanos están molestos por las falsas promesas de Pedro Castillo; todo sigue en aumento…",Ipardo691,
23,"RT @QuitateSombrero: ¡Castillo me cagaste!

Ya los peruanos están molestos por las falsas promesas de Pedro Castillo; todo sigue en aumento…",otro_peruano,
24,"RT @QuitateSombrero: ¡Castillo me cagaste!

Ya los peruanos están molestos por las falsas promesas de Pedro Castillo; todo sigue en aumento…",PasquinDeM,"San isidro, Peru"
25,"RT @QuitateSombrero: ¡Castillo me cagaste!

Ya los peruanos están molestos por las falsas promesas de Pedro Castillo; todo sigue en aumento…",lmorote,peru
26,"RT @FracardTv: 🔸SE TENÍA QUE DECIR Y SE DIJO 2.5!
Un profesor y periodista de verdad #MarcialVilela DESTRUYE EN SEGUNDOS AL ciudadano Procl…",PeruanoSFPeru,
27,"@JaimeChincha Ya estoy traumatizada con este despelote de gobierno, parece un capítulo de la Rosa de Guadalupe vers… https://t.co/XZML7Sd2U9",NananaTotol,
28,"RT @SaraviaJ_: @PedroCastilloTe En Los Olivos, cansados de la ingobernabilidad, las vinculaciones a Sendero Luminoso y la crisis económica…",FELICIAUNOS,Peru
29,"@PedroCastilloTe En Los Olivos, cansados de la ingobernabilidad, las vinculaciones a Sendero Luminoso y la crisis e… https://t.co/OsjgZ7Oocc",SaraviaJ_,
30,"En Los Olivos, cansados de la ingobernabilidad, las vinculaciones a Sendero Luminoso y la crisis económica 
Lima no… https://t.co/NT2rYk6cqL",SaraviaJ_,
31,"no merecen irse ay pero seguro serán de los primeros en irse jajajaja
Yo si quiero q esto suceda para verlos disfru… https://t.co/FicmaJrcax",XJoderXD,
32,"El sr. Pedro Castillo en su afán por seguir improvisando quiere que la próxima reunión de la OEA, primero que sepa… https://t.co/w78LyrWjy4",Fran_arturo3,
33,"RT @QuitateSombrero: ¡Castillo me cagaste!

Ya los peruanos están molestos por las falsas promesas de Pedro Castillo; todo sigue en aumento…",Andros0093,
34,"RT @QuitateSombrero: Perú se mantiene en las calles y exigen respeto por parte de Pedro Castillo...

Cansados de la crisis económica y la i…",ELLOCOMURDOCK66,"Nova Lima, Brasil"
35,"Perú se mantiene en las calles y exigen respeto por parte de Pedro Castillo...

Cansados de la crisis económica y l… https://t.co/Xr6NNPZMqI",QuitateSombrero,Perú
36,"RT @FracardTv: 🔸SE TENÍA QUE DECIR Y SE DIJO 2.5!
Un profesor y periodista de verdad #MarcialVilela DESTRUYE EN SEGUNDOS AL ciudadano Procl…",astrals53543098,
37,"RT @FracardTv: 🔸SE TENÍA QUE DECIR Y SE DIJO 2.5!
Un profesor y periodista de verdad #MarcialVilela DESTRUYE EN SEGUNDOS AL ciudadano Procl…",Celeste33221954,
38,"RT @FracardTv: 🔸SE TENÍA QUE DECIR Y SE DIJO 2.5!
Un profesor y periodista de verdad #MarcialVilela DESTRUYE EN SEGUNDOS AL ciudadano Procl…",TosoPatricia,Peru
39,"RT @FracardTv: 🔸SE TENÍA QUE DECIR Y SE DIJO 2.5!
Un profesor y periodista de verdad #MarcialVilela DESTRUYE EN SEGUNDOS AL ciudadano Procl…",amautaT3K,
40,"RT @FracardTv: 🔸SE TENÍA QUE DECIR Y SE DIJO 2.5!
Un profesor y periodista de verdad #MarcialVilela DESTRUYE EN SEGUNDOS AL ciudadano Procl…",FracardTv,lima - Perú
41,"RT @FracardTv: 🔸SE TENÍA QUE DECIR Y SE DIJO 2.5!
Un profesor y periodista de verdad #MarcialVilela DESTRUYE EN SEGUNDOS AL ciudadano Procl…",TaurusDepresiva,
42,"RT @FracardTv: 🔸SE TENÍA QUE DECIR Y SE DIJO 2.5!
Un profesor y periodista de verdad #MarcialVilela DESTRUYE EN SEGUNDOS AL ciudadano Procl…",FELICIAUNOS,Peru
43,"RT @FracardTv: 🔸SE TENÍA QUE DECIR Y SE DIJO 2.5!
Un profesor y periodista de verdad #MarcialVilela DESTRUYE EN SEGUNDOS AL ciudadano Procl…",Rosamespoule,"Lima, Peru"
44,"RT @FracardTv: 🔸SE TENÍA QUE DECIR Y SE DIJO 2.5!
Un profesor y periodista de verdad #MarcialVilela DESTRUYE EN SEGUNDOS AL ciudadano Procl…",Pilarci54579949,
45,"🔸SE TENÍA QUE DECIR Y SE DIJO 2.5!
Un profesor y periodista de verdad #MarcialVilela DESTRUYE EN SEGUNDOS AL ciudad… https://t.co/28SSXbYc96",FracardTv,lima - Perú
46,"@oppenheimera @elnuevoherald @pedrofrancke No es mi presidente. 

#CastilloNoMeRepresenta",LuisEdu95223459,
47,#BonoYanapay #Societatis #PeruNoticias #CesarMorales #PL #PedroCastillo #CastilloNoMeRepresenta #Cojudignos… https://t.co/FKRr0WPO8O,NesitaHana,"Santiago de Surco, Peru"
48,@marimari202167 @esquinabaja Que la @PoliciaPeru @Defensoria_Peru tomen cartas en el asunto y protejan a este demóc… https://t.co/nttJQB9mtq,ManuelTakamura,
49,"RT @QuitateSombrero: ¡Castillo me cagaste!

Ya los peruanos están molestos por las falsas promesas de Pedro Castillo; todo sigue en aumento…",carlos313110,
50,"RT @QuitateSombrero: ¡Castillo me cagaste!

Ya los peruanos están molestos por las falsas promesas de Pedro Castillo; todo sigue en aumento…",Bolognesi_71880,"Lima, perú"
51,"RT @QuitateSombrero: ¡Castillo me cagaste!

Ya los peruanos están molestos por las falsas promesas de Pedro Castillo; todo sigue en aumento…",Piero44914806,"Jesús Maria, Peru"
52,"¡Castillo me cagaste!

Ya los peruanos están molestos por las falsas promesas de Pedro Castillo; todo sigue en aume… https://t.co/gV2eMhgvNt",QuitateSombrero,Perú
53,Que vergüenza me da este presidente que gran error #castillonomerepresenta #VacanciaPedroCastilloYa,josieta_luz,Peru
54,"RT @QuitateSombrero: Las contradicciones entre ministros, la falta de transferencia de la reunión con Maduro y la creciente crisis económic…",mar_anti21,
55,"@lovMagalyMedina @PedroCastilloTe Asco de primer ministro 15 años de universidad.
#CastilloNoMeRepresenta… https://t.co/hLyFrFPyJZ",Lafrutafresca7,
56,"@Superso02108781 @PedroCastilloTe Asco de primer ministro 15 años de universidad.
#CastilloNoMeRepresenta… https://t.co/vRLAs1w73k",Lafrutafresca7,
57,"@Luisxs3 @PedroCastilloTe #CastilloNoMeRepresenta
#Demócratas a la calle.#Noalreferendum… https://t.co/a6tCsteEEL",Lafrutafresca7,
58,@PedroCastilloTe 12 días y hasta ahora no lo eliminas ese cuerpo. Tu premier  con 15 años de universidad vergüenza… https://t.co/cP0SiqPiRq,Lafrutafresca7,
59,"@GuidoPuka Asco de primer ministro 15 años de universidad.
#CastilloNoMeRepresenta
#Demócratas a la calle.… https://t.co/yRidPXBG0c",Lafrutafresca7,
60,"@GuidoPuka Asco de primer ministro 15 años de universidad.
#CastilloNoMeRepresenta
#Demócratas a la calle.… https://t.co/opKaWtTxkP",Lafrutafresca7,
61,RT @Querubin13k: ¡OTRO HAZMEREIR MUNDIAL! PRENSA ARGENTINA  CONFUNDE a CASTILLO con un MA... https://t.co/qNEb6XPYUg a través de @YouTube…,Querubin13k,
62,¡OTRO HAZMEREIR MUNDIAL! PRENSA ARGENTINA  CONFUNDE a CASTILLO con un MA... https://t.co/qNEb6XPYUg a través de… https://t.co/aqCxiLZ3o3,Querubin13k,
63,"@KeikoFujimori @hermanntertsch @vicpiedra @jm_frias #NoAlaAsambleaConstituyente 
#NoAlComunismo 
#CastilloNoMeRepresenta",TeamDerecha0000,
64,"Las contradicciones entre ministros, la falta de transferencia de la reunión con Maduro y la creciente crisis econó… https://t.co/OqIABRMSD2",QuitateSombrero,Perú
65,"@h_1789 @VLADIMIR_CERRON @PedroCastilloTe #NoAlaAsambleaConstituyente 
#CastilloNoMeRepresenta",victorhponce,Lima- Perú
66,"RT @h_1789: @victorhponce Es la fuerza @VLADIMIR_CERRON y @PedroCastilloTe en estos momentos están negociando nuestro futuro, vamos a ver c…",victorhponce,Lima- Perú
67,"RT @h_1789: @victorhponce Es la fuerza @VLADIMIR_CERRON y @PedroCastilloTe en estos momentos están negociando nuestro futuro, vamos a ver c…",JJCALEROP,LIMA-PERU
68,"@victorhponce Es la fuerza @VLADIMIR_CERRON y @PedroCastilloTe en estos momentos están negociando nuestro futuro, v… https://t.co/coJ1K8rpbQ",h_1789,
69,@rlopezaliaga1 No entiendo el grado de ignorancia de este señor (si se puede llamar así) como se va expresar de esa… https://t.co/vKX5zJDNHb,ulisespereyra14,Ecuador
70,"@marita_molina4 @agildemeisterrh #VacanciaPresidencialYa #VacanciaPedroCastilloYa 
#CastilloNoMeRepresenta",CarlosC99307349,"Lima, Peru"
71,"Ante esto, el excongresista Víctor Andrés García Belaunde, señaló que el presidente del Consejo de Ministro, Guido… https://t.co/h29YriEJPm",QuitateSombrero,Perú
72,Esto ha quedado en evidencia ante las recientes contradicciones que han existido con representantes de otros minist… https://t.co/xszb36ecZx,QuitateSombrero,Perú
73,"@exitosape @KarinaNovoaL #CastilloNoMeRepresenta triste la mediocridad presidencial, el colmo de conchudez pedir sa… https://t.co/834w5l6yHn",Alazan1902,"Lima, Peru"
74,"Vesta cochesuuuuuuu......Comunista que se respeta tiene que ganar mas de 20000 soles, OBVIO, ASÍ COMO EL PUEBLO. Se… https://t.co/u4mP5PvhsI",rockonauta,Lima-Perú
