,TWEET,USER NAME,USER LOCATION
0,RT @ESPNArgentina: 📆 Hoy es 29 y mañana #Messi 🇦🇷 3️⃣0️⃣... https://t.co/sLAzPWtN2d,elwilsonok,"Montevideo, Uruguay"
1,"RT @ZemmourEric: 2-0, quel but !
#PSGMCI #ChampionsLeague #Messi https://t.co/HiKmJaXbQG",fabien_fichaux,"Jeumont, France"
2,"RT @ZemmourEric: 2-0, quel but !
#PSGMCI #ChampionsLeague #Messi https://t.co/HiKmJaXbQG",cresus1ier,
3,"RT @ZemmourEric: 2-0, quel but !
#PSGMCI #ChampionsLeague #Messi https://t.co/HiKmJaXbQG",takavnir,"Côtes-d'Armor, Bretagne"
4,"Cristiano Ronaldo vs top 6 // 78 games, 28 goals- 8 Assists Messi vs top 6 35 games, 27 goals - 6 assists.… https://t.co/Pz3xmD3b1S",MiteshThakur232,"Mumbai, India"
5,"RT @ZemmourEric: 2-0, quel but !
#PSGMCI #ChampionsLeague #Messi https://t.co/HiKmJaXbQG",sagi_nk,
6,RT @jeff_oh_willie: THREAD: Why Lionel Messi will win the 2021 Ballon d'Or. #Messi https://t.co/85my9XJ5NL,Messimirizing,
7,"RT @EllySpaceSongs: Full: https://t.co/kwc7wPw6GT
#突然ですが占ってもいいですか #WhatIf #Sep29Coup #Bond #NationalCoffeeDay #岸田さん #Zoom #Messi #Daniel #N…",JPBlough,"Pennsylvania, USA"
8,RT @MEMBER31773: Better player considering whole career… also adding tags to ensure decent sample size #Napoli #Dortmund #Bayern #Juventus…,dhitka, code TIKTOK : H4KKPXD3XWA8
9,"RT @ZemmourEric: 2-0, quel but !
#PSGMCI #ChampionsLeague #Messi https://t.co/HiKmJaXbQG",AdelPetrocorp,"Ile-de-France, France"
10,"RT @mohamed69042518: The end of everything 
#messi
#ميسي https://t.co/bbV2cVD3fT",Joury68700890,
11,"RT @Nfb_30: Lionel Messi has his first goal in a PSG shirt!🙏🏻😭😭🤍
#Messi 
#ميسي 
#دوري_ابطال_اوروبا https://t.co/nyyOSC5OWE",Joury68700890,
12,RT @IBZBLUE: 4K #Wallpapers | #MESSI GOAT 🐐🐐🐐🐐💙 https://t.co/9TViJBVt6U,SeragKhaledd,
